ArticleID,ArticleTitle,PublishedDate,MainAuthor,Description
1,Incorporating Occupancy into Frequent Pattern Mining for High Quality Pattern Recommendation,2012,Linpeng Tang,
2,Mining association rules between sets of items in large databases,1993,R. Agrawal," R. Agrawal, T. Imielinski, and A. Swami. Mining association rules between sets of items in large databases. In Proceedings of the ACM SIGMOD, 1993."
3,Advances in knowledge discovery and data mining,1996,R. Agrawal," R. Agrawal, H. Mannila, R. Srikant, H. Toivonen, and A. I. Verkamo. Advances in knowledge discovery and data mining. chapter Fast discovery of association rules, pages 307–328. American Association for Arti?cial Intelligence, Menlo Park, CA, USA, 1996. "
4,Mining sequential patterns,1995,R. Agrawal," R. Agrawal and R. Srikant. Mining sequential patterns. In Proceedings of the 11th ICDE, 1995. "
5,Anticipated data reduction in constrained pattern mining,2003,F. Bonchi,"F. Bonchi, F. Giannotti, A. Mazzanti, and D. Pedreschi. Exante: Anticipated data reduction in constrained pattern mining. Knowledge Discovery in Databases: PKDD 2003, 2003. "
6,On closed constrained frequent pattern mining,2004,F. Bonchi," F. Bonchi and C. Lucchese. On closed constrained frequent pattern mining. In Data Mining, 2004. ICDM’04. Fourth IEEE International Conference on, pages 35–42. IEEE, 2004. "
7,A maximal frequent itemset algorithm for transactional databases,2001,D. Burdick,"D. Burdick, M. Calimlim, and J. Gehrke. Ma?a: A maximal frequent itemset algorithm for transactional databases. In Proceedings of the 17th ICDE, 2001."
8,Closed patterns meet n-ary relations,2009,L. Cerf,"L. Cerf, J. Besson, C. Robardet, and J.-F. Boulicaut. Closed patterns meet n-ary relations. ACM Trans. Knowl. Discov. Data, 3(1):3:1–3:36, Mar. 2009. "
9,Ef?cient closed pattern mining in the presence of tough block constraints,2004,K. Gade,"K. Gade, J. Wang, and G. Karypis. Ef?cient closed pattern mining in the presence of tough block constraints. In Proceedings of the tenth ACM SIGKDD international conference on Knowledge discovery and data mining, pages 138–147. ACM, 2004. "
10,An ef?cient algorithm for mining maximal frequent itemsets,2005,K. Gouda,"K. Gouda and M. Zaki. Genmax: An ef?cient algorithm for mining maximal frequent itemsets. Data Mining and Knowledge Discovery, 2005. "
11,Frequent pattern mining: current status and future directions,2007,J. Han,"J. Han, H. Cheng, D. Xin, and X. Yan. Frequent pattern mining: current status and future directions. Data Mining and Knowledge Discovery, 2007. "
12,Mining frequent patterns without candidate generation,2000,J. Han,"J. Han, P. Jian, and Y. Yin. Mining frequent patterns without candidate generation. In Proceedings of ACM SIGMOD, 2000. "
13,Discovering frequent closed itemsets for association rules,1999,N. Pasquier,"N. Pasquier, Y. Bastide, R. Taouil, and L. Lakhal. Discovering frequent closed itemsets for association rules. In Proceedings of the 7th International Conference on Database Theory, 1999."
14,"Probabilistic Frequent Itemset Mining in Uncertain Databases
",2009,Thomas Bernecker,"Thomas Bernecker, Hans-Peter Kriegel, Matthias Renz, Florian Verhein, Andreas Zue?e "
15,"Trio: A system for data, uncertainty, and lineage",2006,R. Agrawal,"P. Agrawal, O. Benjelloun, A. Das Sarma, C. Hayworth, S. Nabar, T. Sugihara, and J. Widom. ”Trio: A system for data, uncertainty, and lineage”. In Proc. Int. Conf. on Very Large Databases (VLDB’06), 2006. "
16,Fast algorithms for mining association rules,1994,R. Agrawal,"R. Agrawal and R. Srikant. Fast algorithms for mining association rules. In Proc. ACM SIGMOD Int. Conf. on Management of Data (SIGMOD’94), Minneapolis, MN, 1994. 
"
17,Fast and Simple Relational Processing of Uncertain Data,2008,L. Antova,"L. Antova, T. Jansen, C. Koch, and D Olteanu. ”Fast and Simple Relational Processing of Uncertain Data”. In Proc. 24th Int. Conf. on Data Engineering (ICDE’08), Cancu´n, M´exico, 2008. "
18,ULDBs: Databases with Uncertainty and Lineage,2006,O. Benjelloun,"O. Benjelloun, A. D. Sarma, A. Halevy, and J. Widom. ”ULDBs: Databases with Uncertainty and Lineage”. In Proc. Int. Conf. on Very Large Databases (VLDB’06), 2006. "
19,A decremental approach for mining frequent itemsets from uncertain data,2008,Chun Kit Chui,"Chun Kit Chui and Ben Kao. A decremental approach for mining frequent itemsets from uncertain data. In The 12th Paci?c-Asia Conference on Knowledge Discovery and Data Mining (PAKDD), pages 64–75, 2008. "
20,Mining frequent itemsets from uncertain data,2007,Chun Kit Chui,"Chun Kit Chui, Ben Kao, and Edward Hung. Mining frequent itemsets from uncertain data. In 11th Paci?c-Asia Conference on Advances in Knowledge Discovery and Data Mining, PAKDD 2007, Nanjing, China, pages 47–58, 2007. "
